0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
42,Texas A&M 🏀,9.4,6.3,15.7,-0.05,0.03,43.0,52.0,72.0,18.0,41.0,267.0,42.0,0.91,0.47,0.44,29.0,15.0,21.0,11.0
43,Auburn 🥶🤕,13.1,2.7,15.7,-0.05,0.03,19.0,108.0,68.4,187.0,42.0,53.0,30.0,0.5,0.44,0.06,17.0,15.0,18.0,16.0
44,South Florida 🏀🔥,8.0,7.7,15.7,-0.05,-0.05,54.0,34.0,72.4,15.0,43.0,227.0,44.0,0.72,0.34,0.38,23.0,11.0,24.0,8.0
45,Indiana 📉,11.0,4.6,15.7,-0.05,0.03,33.0,69.0,67.3,259.0,44.0,24.0,38.0,0.44,0.34,0.09,14.0,11.0,18.0,14.0
46,Villanova 🏀🥶🔒🤕,7.7,7.5,15.2,-0.05,-0.05,59.0,35.0,66.6,292.0,45.0,202.0,50.0,0.5,0.41,0.09,16.0,13.0,24.0,8.0
47,Baylor,13.1,2.0,15.0,-0.05,-0.05,18.0,126.0,68.9,165.0,46.0,83.0,37.0,0.58,0.39,0.19,18.0,12.0,15.0,16.0
48,Missouri 🏀,10.1,4.4,14.5,-0.05,0.03,38.0,74.0,67.6,239.0,48.0,204.0,36.0,0.53,0.34,0.19,17.0,11.0,20.0,12.0
49,North Carolina 🏀🥶🤕,8.0,6.4,14.4,-0.05,0.03,55.0,48.0,69.2,143.0,47.0,10.0,41.0,0.63,0.28,0.34,20.0,9.0,24.0,8.0
50,San Diego State,3.0,10.9,13.9,-0.05,-0.05,111.0,17.0,69.5,128.0,49.0,152.0,49.0,0.73,0.3,0.43,22.0,9.0,21.0,11.0
5,10,25,50.0,100.0,500.0,1000.0,,,,,,,,,,,,,,
25000,2345,,,,,,,,,,,,,,,,,,,
