Saint Mary's,120.1340075998,101.19797597485,0.8778884509323,17–3,17,20,52.9,46.4,39.9,25.7,16.9,15.3,37.4,24.3,66.7,51.7,47.2,36.8,30,9,8.5,57.7,52.8,35.3,36.7,65.29880207092,78.69104166666668,82.36300000000001,1.3739999999999997,2026,0,0,35.28900000000001,,81.5,73.4,1.167,0.98,18.2932
Georgia,120.90007104222,101.85408597971,0.87775770421562,16–4,16,20,54,47.2,41.2,28.7,14.7,19.6,36.9,34.1,76.1,58.7,47.6,32,31.1,16.6,10.7,47.6,46.9,43.4,35,74.234326770456,77.45273531777957,81.527,1.569913982796559,2026,0,0,60.67080000000001,,75.8,68.1,1.207,0.988,23.452965
Santa Clara,121.54746164499,102.80590694884,0.87278526446276,15–5,15,20,53.7,51.1,26.4,39.4,16.8,21,38.9,31,70.3,57,52.1,33.2,32.9,12.8,9.1,56.9,60.9,44.6,38.2,69.247607775637,78.3693386773547,81.839,1.4424884976995398,2026,0,0,20.263720000000003,,73.7,73.4,1.171,1.016,20.73869
Ohio St.,122.5785181462,103.88956285209,0.87015936092209,13–6,13,19,56.1,48.2,37.6,33.5,15.9,15.8,34.1,30.1,67.5,59.8,50.9,33.7,29.6,7.2,8.5,53.8,52.1,40.1,41.1,66.604294918528,77.68560452891224,81.7085,1.8061999999999991,2026,0,0,65.56108000000002,,78.5,73.4,1.193,1.05,28.090731578947
Texas,125.66408924332,107.07176631578,0.86310241379966,11–8,11,19,54.2,49.1,47.4,39.7,15.2,15.1,38,27.9,69.3,56.9,47.5,33.1,34.7,7.3,9.4,44.5,47.5,38.1,34.6,66.893173259466,78.07408167453313,81.38699999999999,2.2662,2026,0,0,53.56148,,73.8,72.2,1.208,1.065,33.196226315789
Kentucky,119.44750838485,101.8526924723,0.86206148092912,14–6,14,20,54.2,47.5,37.3,34.2,14.8,16.8,34.2,28.3,69.5,56.1,48.9,34.4,30.2,13.4,7.9,58.5,58.1,40.3,40.2,67.800715231154,78.73687436159345,81.82199999999999,1.5329065813162628,2026,0,0,84.50504,,73.7,74,1.188,1.012,31.79591
Miami FL,118.25097487525,101.32906515738,0.85520394877988,16–4,16,20,56.7,49.6,37.5,31.6,16.7,19.5,37.4,25.8,71.1,59.6,48.2,34.1,34.5,9.4,10.1,57,52.9,33.5,39.7,68.945688986328,78.43042333400852,81.41,1.6350000000000007,2026,0,0,79.0814,,69.3,66.5,1.195,0.975,20.841645
New Mexico,115.41423695884,98.980885745511,0.85401077908084,14–4,14,18,53.1,47.9,34.8,32.1,16,20.6,29.5,27.9,71.2,55.1,51.4,33.7,29.5,9.6,9.3,51.4,51,44.4,49.7,69.951788257223,77.31521739130434,81.0425,1.5425085017003406,2026,0,0,13.002000000000002,,74.9,73.3,1.122,0.965,20.622066666667
San Diego St.,113.96671959884,97.764229290687,0.85364731058115,12–5,12,17,52.9,48,35.9,36.4,18,20.8,30.6,30.8,70,51.9,45.9,36.5,33.5,16,6.8,55.9,59.6,33.3,48.7,68.583384332203,78.2916582914573,81.00500000000001,1.7331466293258648,2026,0,0,51.21576,,74.5,76.4,1.088,1.004,25.941947058824
UCLA,119.88986489389,103.35154259908,0.84645055331373,13–6,13,19,54.4,49.2,35.6,35.8,15,19.9,31.5,33.2,67,53.6,53,37.3,29.6,11.7,6.2,58.3,58.8,35.1,44.4,64.787201460534,78.0688893352079,81.35499999999998,2.3070000000000004,2026,0,0,67.80240000000002,,76,76.1,1.159,1.035,28.896110526316
Cincinnati,107.97097087413,93.756783912671,0.83525267625762,10–9,10,19,48.9,47.6,31.7,31.1,17.2,19.8,30,25.3,71.1,52,47.2,30.2,32.1,13.6,7.2,65,56.3,45.2,40.5,68.56925988166,78.59211053263917,83.2305,1.9294141171765653,2026,0,0,63.71779999999999,,65.7,69.7,1.024,0.938,29.315547368421
Seton Hall,109.36020633232,95.135778568573,0.83235809137956,14–5,14,19,47.5,45.4,37.8,44.8,16.5,21.8,37.1,31.5,67,47.9,45,31,30.7,18.7,7.4,52.6,53.7,28,40.2,65.568040114618,76.2951954397394,79.7805,2.0075984803039395,2026,0,0,27.995760000000004,,72.8,70.7,1.077,0.954,23.292931578947
LSU,120.94919113693,105.40592030736,0.82946566586859,13–6,13,19,55.2,48.1,42.6,35.3,15.9,15.1,33.6,30,69.4,57.4,45.9,34.1,34.2,12,7.7,52.3,46.8,35.6,39.9,66.676279204745,78.42974866089821,81.48,2.255651130226045,2026,0,0,37.69384,,77.1,68.7,1.193,1.043,24.694310526316
UCF,120.3413734086,105.092729913,0.82608455039016,14–4,14,18,54.4,50.8,30.1,35.8,16.7,16.8,37.4,28.1,71.9,53.9,52.4,36.9,32.3,8.5,8.9,54,53.5,35.8,41.2,68.784617558875,78.60572821450336,81.9095,2.4482896579315856,2026,0,0,40.49696,,73.4,73.8,1.164,1.064,27.801311111111
TCU,113.96010650713,99.63631625175,0.82414690511803,12–7,12,19,52.4,48.8,34.9,30.7,15.9,20.2,33.4,29.2,69.8,53.3,48,33.9,33.4,15,8.8,59.3,60,37.9,36.5,66.910681456,76.40008431703204,79.1545,1.7573514702940591,2026,0,0,52.582599999999985,,71.1,70.2,1.118,0.98,27.521278947368
Akron,124.14972088485,108.85767585795,0.81930413486191,14–4,14,18,59.9,51,28.9,32.8,15.2,18.4,34.6,31.6,72.2,60.1,51.3,39.7,33.8,8.8,10.2,58.8,50.5,43.6,43.3,70.906245114466,75.34885151763741,78.13550000000001,2.399680255795363,2026,0,0,12.702360000000004,,76.5,74,1.253,1.069,14.709644444444
Butler,119.01639860661,104.7418664591,0.81294600156939,13–7,13,20,53.3,49.3,43.8,23.8,16.6,16,36.5,30.7,71.7,54.5,51,34.2,30.7,8.6,12.9,57.5,51,37.2,34.6,69.935393043446,78.08551972761867,80.918,1.7900419916016799,2026,0,0,49.93672,,71.4,72.8,1.152,1.046,27.323425
