game_id,season,season_type,home_team,away_team,home_score,away_score,actual_spread,actual_total,off_eff_diff,def_eff_diff,net_eff_diff,spread_net_rating_diff,spread_off_rating_diff,spread_def_rating_diff,spread_ppg_diff,spread_opp_ppg_diff,spread_margin_diff,spread_efg_diff,spread_to_rate_diff,spread_orb_diff,spread_ft_rate_diff,total_combined_off_eff,total_combined_def_eff,total_avg_off_eff,total_avg_def_eff,total_combined_tempo,total_avg_tempo,total_combined_ppg,total_combined_opp_ppg,total_combined_fg_pct,total_combined_3pt_pct,total_projected_total
19631,2022,regular,Florida Atlantic,James Madison,65,69,4.0,134.0,0.5,0.20000000000000284,0.30000000000000004,0.30000000000000004,0.5,0.20000000000000284,-1.015212981744412,-5.11866125760649,4.103448275862078,0.0020000000000000018,0.010000000000000009,0.027000000000000024,-0.009000000000000008,220.5,222.8,110.25,111.4,133.3,66.65,149.19168356997972,141.2951318458418,0.9159999999999999,0.6970000000000001,59.091890000000014
19632,2022,regular,Duquesne,American University,88,79,-9.0,167.0,1.7000000000000028,2.9000000000000057,-1.0999999999999999,-1.0999999999999999,1.7000000000000028,2.9000000000000057,1.7312500000000028,2.4625000000000057,-0.7312500000000028,-0.04200000000000004,-0.04000000000000001,0.07499999999999996,-0.03700000000000003,223.10000000000002,221.9,111.55000000000001,110.95,122.3,61.15,128.66875,144.3375,0.853,0.636,54.42349999999999
19636,2022,regular,Bucknell,Siena,65,56,-9.0,121.0,-17.5,-53.8,36.400000000000006,36.400000000000006,-17.5,-53.8,4.880387931034477,10.233836206896555,-5.353448275862078,0.04099999999999998,0.010000000000000009,-0.031,-0.00599999999999995,239.5,274.4,119.75,137.2,126.6,63.3,137.43211206896552,148.57866379310343,0.883,0.732,65.05974
19635,2022,regular,South Carolina,Rider,65,58,-7.0,123.0,-0.8000000000000114,-1.2999999999999972,0.6000000000000001,0.6000000000000001,-0.8000000000000114,-1.2999999999999972,3.17986314760509,0.9853372434017729,2.194525904203317,0.01899999999999996,0.03,0.04600000000000004,0.013000000000000012,220.0,221.7,110.0,110.85,135.9,67.95,138.75562072336265,139.5307917888563,0.838,0.638,60.02703
19634,2022,regular,Fairfield,Loyola Maryland,70,75,5.0,145.0,-1.0999999999999943,-1.4000000000000057,0.19999999999999973,0.19999999999999973,-1.0999999999999943,-1.4000000000000057,1.7151515151515042,0.30303030303029743,1.4121212121212068,-0.0040000000000000036,-0.020000000000000018,0.012999999999999956,0.016000000000000014,218.5,223.0,109.25,111.5,123.0,61.5,133.9818181818182,131.63636363636363,0.876,0.659,54.3045
19641,2022,regular,SMU,UL Monroe,74,67,-7.0,141.0,1.9000000000000057,-3.0,4.9,4.9,1.9000000000000057,-3.0,1.3665689149560052,-7.201368523949171,8.567937438905176,0.0010000000000000009,0.010000000000000009,-0.025000000000000022,0.09500000000000003,220.9,219.2,110.45,109.6,132.9,66.45,146.2697947214076,141.4437927663734,0.8939999999999999,0.692,58.48929000000001
19640,2022,regular,Tennessee State,Southern,80,82,2.0,162.0,-0.09999999999999432,1.7000000000000028,-1.8,-1.8,-0.09999999999999432,1.7000000000000028,-0.5907258064516157,2.2842741935483843,-2.875,0.0030000000000000027,0.0,-0.006000000000000005,-0.029000000000000026,221.1,223.3,110.55,111.65,134.10000000000002,67.05000000000001,143.21572580645162,138.09072580645162,0.886,0.703,59.59404000000001
19642,2022,regular,Incarnate Word,Portland,68,77,9.0,145.0,0.5,0.29999999999999716,0.10000000000000003,0.10000000000000003,0.5,0.29999999999999716,-7.204044117647058,4.22977941176471,-11.433823529411768,-0.010000000000000009,0.01999999999999999,0.03600000000000003,-0.066,223.5,222.7,111.75,111.35,133.3,66.65,141.26654411764707,148.5827205882353,0.8530000000000001,0.698,59.47846000000001
19644,2022,regular,Arkansas State,Kansas City,66,55,-11.0,121.0,1.5999999999999943,-0.20000000000000284,1.9,1.9,1.5999999999999943,-0.20000000000000284,-3.6863181312569537,0.8109010011123416,-4.497219132369295,-0.04300000000000004,0.04000000000000001,0.034999999999999976,0.02100000000000002,221.4,222.39999999999998,110.7,111.19999999999999,133.4,66.7,145.41045606229142,135.32703003337042,0.929,0.677,59.20292
19646,2022,regular,Bryant,Dartmouth,61,63,2.0,124.0,0.4000000000000057,-0.30000000000001137,0.8,0.8,0.4000000000000057,-0.30000000000001137,9.67125,5.174999999999997,4.496250000000003,0.009000000000000008,0.010000000000000009,0.05199999999999999,0.08099999999999999,222.4,222.5,111.2,111.25,131.0,65.5,146.39125,141.575,0.8540000000000001,0.643,58.2819
19647,2022,regular,Georgia,Wofford,65,68,3.0,133.0,-0.7000000000000028,-0.7000000000000028,0.0,0.0,-0.7000000000000028,-0.7000000000000028,-2.75,12.25,-15.0,-0.049000000000000044,0.01999999999999999,-0.013000000000000012,0.10300000000000004,221.10000000000002,220.3,110.55000000000001,110.15,128.6,64.3,142.375,144.75,0.907,0.677,56.764040000000016
